"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GSTP1",3.44740679673387e-79,0.861314542388857,0.797,0.464,9.06667987541008e-75,"IgG+ Plasma cells","GSTP1"
"SEC61G",7.85776113914675e-75,0.859767314343927,0.796,0.51,2.06659117959559e-70,"IgG+ Plasma cells","SEC61G"
"LGALS1",1.6938889458026e-69,0.938817025313164,0.793,0.499,4.45492792746084e-65,"IgG+ Plasma cells","LGALS1"
"HSPA5",3.24081510344264e-67,1.02756987565247,0.715,0.39,8.52334372205414e-63,"IgG+ Plasma cells","HSPA5"
"IGLL5",3.29664180136583e-67,2.74206476026334,0.41,0.17,8.67016793759213e-63,"IgG+ Plasma cells","IGLL5"
"IGLV6-57",6.13166072757414e-61,1.685888669104,0.337,0.126,1.612626771352e-56,"IgG+ Plasma cells","IGLV6-57"
"IGLC7",9.11937556379144e-54,1.24133842570973,0.375,0.157,2.39839577327715e-49,"IgG+ Plasma cells","IGLC7"
"IGKC",1.6658696086547e-43,2.26813957320301,0.98,0.922,4.38123707076186e-39,"IgG+ Plasma cells","IGKC"
"IGLC2",7.06428752701502e-33,2.92125799549915,0.825,0.699,1.85790761960495e-28,"IgG+ Plasma cells","IGLC2"
"IGLC3",2.6244699443018e-31,2.10066594820206,0.758,0.615,6.90235595351374e-27,"IgG+ Plasma cells","IGLC3"
"IGHA1",0,5.46955105531206,0.999,0.794,0,"IgA+ Plasma cells","IGHA1"
"IGJ",0,5.10954216089221,0.802,0.275,0,"IgA+ Plasma cells","IGJ"
"IGHA2",0,4.83789872554654,0.97,0.349,0,"IgA+ Plasma cells","IGHA2"
"SSR41",0,2.70974463530933,0.987,0.565,0,"IgA+ Plasma cells","SSR4"
"MZB11",0,2.69879453234472,0.971,0.226,0,"IgA+ Plasma cells","MZB1"
"AC096579.7",0,2.58447062880126,0.469,0.032,0,"IgA+ Plasma cells","AC096579.7"
"IGKC1",0,2.56880324369044,0.97,0.903,0,"IgA+ Plasma cells","IGKC"
"IGLL51",0,2.4274007118519,0.408,0.072,0,"IgA+ Plasma cells","IGLL5"
"CCL3",0,2.2036218523069,0.404,0.074,0,"IgA+ Plasma cells","CCL3"
"TNFRSF17",0,2.14539714189261,0.821,0.109,0,"IgA+ Plasma cells","TNFRSF17"
"XBP11",0,2.14180246215204,0.895,0.204,0,"IgA+ Plasma cells","XBP1"
"SEC11C1",0,2.1406969213529,0.879,0.238,0,"IgA+ Plasma cells","SEC11C"
"FKBP111",0,2.13397568360933,0.854,0.116,0,"IgA+ Plasma cells","FKBP11"
"DERL31",0,2.07856839265897,0.842,0.147,0,"IgA+ Plasma cells","DERL3"
"FKBP21",0,2.03664419310691,0.894,0.229,0,"IgA+ Plasma cells","FKBP2"
"DNAJB9",0,1.96379637247302,0.808,0.174,0,"IgA+ Plasma cells","DNAJB9"
